"Year" "Date" "FlowRate" "Height"
"1" 1955 "10-11" 598 9.48
"2" 1956 "07-19" 228 3.65
"3" 1957 "07-13" 560 8.69
"4" 1958 "06-13" 405 6.58
"5" 1959 "06-25" 273 4.76
"6" 1960 "07-02" 295 5.08
"7" 1961 "09-14" 588 8.93
"8" 1962 "07-02" 260 5.68
"9" 1963 "07-16" 325 5.68
"10" 1964 "04-06" 284 4.59
"11" 1965 "06-08" 434 7.02
"12" 1966 "05-12" 499 6.74
"13" 1967 "04-01" 264 5.05
"14" 1968 "08-16" 584 8.59
"15" 1969 "07-17" 553 8.28
"16" 1970 "10-10" 449 7.19
"17" 1971 "08-24" 336 5.56
"18" 1972 "09-17" 706 7.97
"19" 1973 "09-24" 509 6.49
"20" 1974 "04-13" 428 5.82
"21" 1975 "04-18" 598 7.33
"22" 1976 "03-04" 454 6.06
"23" 1977 "06-30" 359 7.65
"24" 1978 "07-20" 607 7.63
"25" 1979 "05-03" 591 7.28
"26" 1980 "07-21" 662 7.8
"27" 1981 "04-28" 548 6.95
"28" 1982 "08-07" 839 10.68
"29" 1983 "12-03" 639 8.94
"30" 1984 "10-22" 464 7.27
"31" 1985 "03-04" 556 8.17
"32" 1986 "11-19" 391 6.52
"33" 1987 "08-14" 1120 12.84
"34" 1988 "08-08" 370 6.3
"35" 1989 "09-01" 541 8.03
"36" 1990 "05-09" 895 11.13
"37" 1991 "11-27" 675 9.27
"38" 1992 "10-25" 351 5.99
"39" 1993 "08-23" 517 7.72
"40" 1994 "06-24" 425 5.84
"41" 1995 "10-31" 273 4.96
"42" 1996 "07-17" 400 6.52
"43" 1997 "08-16" 753 9.86
"44" 1998 "09-07" 466 7.2
"45" 1999 "04-09" 385 6.35
"46" 2000 "04-20" 477 7.31
"47" 2001 "09-20" 379 6.27
"48" 2002 "10-13" 652 8.97
"49" 2003 "08-01" 567 8.18
"50" 2004 "08-28" 516 7.69
