"Cement" "Slag" "FlyAsh" "Water" "Strength"
"1" 540 0 0 162 79.98611076
"2" 540 0 0 162 61.88736576
"3" 380 95 0 228 36.447769788
"4" 266 114 0 228 45.854290856
"5" 475 0 0 228 39.28978986
"6" 198.6 132.4 0 192 28.021683592
"7" 304 76 0 228 47.813781648
"8" 139.6 209.4 0 192 28.23748958
"9" 427.5 47.5 0 228 37.427515184
"10" 237.5 237.5 0 228 30.079769452
"11" 332.5 142.5 0 228 33.01900564
"12" 190 190 0 228 40.856968808
"13" 485 0 0 146 71.98818916
"14" 374 189.2 0 170.1 61.09446836
"15" 313.3 262.2 0 175.5 59.79825348
"16" 425 106.3 0 153.5 60.2946762
"17" 425 106.3 0 151.4 61.79773388
"18" 375 93.8 0 126.6 56.69561148
"19" 475 118.8 0 181.1 68.29949256
"20" 469 117.2 0 137.8 66.89985628
"21" 425 106.3 0 153.5 60.2946762
"22" 388.6 97.1 0 157.9 50.69717028
"23" 531.3 0 0 141.8 56.3991368
"24" 425 106.3 0 153.5 60.2946762
"25" 318.8 212.5 0 155.7 55.49592324
"26" 401.8 94.7 0 147.4 68.4994406
"27" 362.6 189 0 164.9 71.29871316
"28" 323.7 282.8 0 183.8 74.69782984
"29" 379.5 151.2 0 153.9 52.20022796
"30" 362.6 189 0 164.9 71.29871316
"31" 286.3 200.9 0 144.7 67.69964844
"32" 362.6 189 0 164.9 71.29871316
"33" 439 177 0 186 65.99664272
"34" 389.9 189 0 145.9 74.4978818
"35" 362.6 189 0 164.9 71.29871316
"36" 337.9 189 0 174.9 49.89737812
"37" 222.36 0 96.67 189.29 24.8900836
"38" 233.81 0 94.58 197.89 22.83544512
"39" 194.68 0 100.52 165.62 25.72434956
"40" 190.68 0 125.4 162.14 26.40003604
"41" 212.07 0 121.62 180.31 24.90387312
"42" 229.97 0 118.31 195.47 24.48329276
"43" 190.34 0 125.18 161.85 28.46846404
"44" 166.09 0 163.27 176.46 21.53923024
"45" 167.95 42.08 163.83 121.75 24.24197616
"46" 213.72 98.05 24.51 181.71 45.70536404
"47" 213.76 98.06 24.52 181.74 40.2309246
"48" 229.68 0 118.16 195.23 24.53845084
"49" 238.05 0 94.11 186.66 30.2335226
"50" 250 0 95.69 187.42 29.21999288
"51" 212.52 0 100.37 159.32 31.64005364
"52" 212.57 0 100.39 159.35 37.404073
"53" 212 0 124.78 159 38.50033984
