"Gu" "Dong" "use0607"
"1" "종로구" "사직동" 11117
"2" "종로구" "삼청동" 3989
"3" "종로구" "무악동" 7118
"4" "종로구" "교남동" 6815
"5" "종로구" "종로1·2·3·4가동" 14600
"6" "종로구" "종로5·6가동" 9218
"7" "종로구" "창신1동" 18434
"8" "종로구" "숭인1동" 5719
"9" "종로구" "숭인2동" 4172
"10" "종로구" "혜화동" 9831
"11" "중구" "소공동" 10143
"12" "중구" "회현동" 20335
"13" "중구" "명동" 3848
"14" "중구" "필동" 6138
"15" "중구" "장충동" 3684
"16" "중구" "광희동" 15276
"17" "중구" "을지로동" 6308
"18" "중구" "황학동" 13817
"19" "중구" "신당동" 6906
"20" "중구" "다산동" 4963
"21" "중구" "약수동" 15496
"22" "중구" "동화동" 3401
"23" "용산구" "용산2가동" 2855
"24" "용산구" "남영동" 16603
"25" "용산구" "용문동" 6231
"26" "용산구" "이태원1동" 12536
"27" "용산구" "한강로동" 16441
"28" "용산구" "한남동" 1756
"29" "성동구" "왕십리2동" 14802
"30" "성동구" "마장동" 6422
"31" "성동구" "사근동" 3275
"32" "성동구" "행당1동" 16581
"33" "성동구" "행당2동" 12849
"34" "성동구" "금호1가동" 7115
"35" "성동구" "금호4가동" 12096
"36" "성동구" "성수1가1동" 6035
"37" "성동구" "성수1가2동" 10910
"38" "성동구" "성수2가3동" 12276
"39" "성동구" "용답동" 26610
"40" "성동구" "옥수동" 11306
"41" "광진구" "화양동" 37976
"42" "광진구" "군자동" 15144
"43" "광진구" "중곡3동" 12619
"44" "광진구" "능동" 39506
"45" "광진구" "구의3동" 34259
"46" "광진구" "광장동" 15813
"47" "광진구" "자양2동" 27898
"48" "광진구" "자양3동" 11125
"49" "동대문구" "용신동" 25296
"50" "동대문구" "전농1동" 20307
"51" "동대문구" "장안1동" 18538
"52" "중랑구" "면목4동" 11381
"53" "중랑구" "상봉2동" 20578
"54" "중랑구" "중화2동" 16002
"55" "중랑구" "묵2동" 14589
"56" "중랑구" "신내2동" 15940
"57" "중랑구" "면목본동" 24844
"58" "중랑구" "면목3·8동" 22032
"59" "성북구" "안암동" 12659
"60" "성북구" "보문동" 9081
"61" "성북구" "길음1동" 41504
"62" "성북구" "월곡2동" 24434
"63" "성북구" "삼선동" 16496
"64" "성북구" "동선동" 25708
"65" "성북구" "석관동" 14611
"66" "강북구" "번1동" 64651
"67" "강북구" "미아동" 29428
"68" "강북구" "송중동" 45565
"69" "도봉구" "창1동" 63327
"70" "도봉구" "창4동" 47109
"71" "도봉구" "도봉2동" 16975
"72" "노원구" "월계1동" 21477
"73" "노원구" "공릉2동" 22087
"74" "노원구" "하계2동" 28816
"75" "노원구" "상계1동" 26444
"76" "노원구" "상계2동" 46912
"77" "노원구" "상계5동" 45290
"78" "노원구" "상계8동" 25567
"79" "노원구" "상계3·4동" 20446
"80" "노원구" "중계2·3동" 26597
"81" "노원구" "공릉1동" 31900
"82" "은평구" "불광1동" 5227
"83" "은평구" "갈현1동" 61278
"84" "은평구" "대조동" 28574
